Time (s),Distance (cm)
8.57E+02,0.00E+00
8.57E+02,5.00E+00
8.58E+02,0.00E+00
8.59E+02,5.00E+00
8.59E+02,0.00E+00
8.59E+02,5.00E+00
8.60E+02,0.00E+00
8.61E+02,5.00E+00
8.61E+02,0.00E+00
8.62E+02,5.00E+00
8.63E+02,0.00E+00
8.63E+02,5.00E+00
8.65E+02,0.00E+00
8.65E+02,5.00E+00
8.66E+02,0.00E+00
8.66E+02,5.00E+00
8.67E+02,0.00E+00
8.67E+02,5.00E+00
8.68E+02,0.00E+00
8.68E+02,5.00E+00
8.69E+02,0.00E+00
8.69E+02,5.00E+00
8.69E+02,5.00E+00
8.69E+02,5.00E+00
