timestamps,x
-0.575254,1002.825317
0.447133,1002.817307
1.469519,1002.809372
2.491877,1002.809372
3.514288,1002.817459
4.536666,1002.824783
4.689201,1002.828674
5.635868,1002.8302
6.582571,1002.8302
7.529144,1002.826385
8.47574,1002.826385
9.422482,1002.826843
10.369213,1002.827988
11.315869,1002.835693
12.262479,1002.846832
13.209134,1002.850418
14.155588,1002.850418
15.102162,1002.850342
16.048766,1002.84584
16.995426,1002.840042
17.941957,1002.83577
18.888514,1002.832489
19.835057,1002.830505
20.781639,1002.82814
21.728332,1002.824478
22.674916,1002.821732
23.621495,1002.818604
24.568159,1002.816162
25.514835,1002.813873
26.461524,1002.813492
27.408156,1002.811813
28.354877,1002.809601
29.301652,1002.808456
30.24836,1002.808151
31.195058,1002.807312
32.141583,1002.807312
33.088325,1002.807465
34.034919,1002.808228
34.98156,1002.809372
35.928245,1002.813187
36.874943,1002.816238
37.821527,1002.816391
38.768119,1002.816391
39.714658,1002.815323
40.661245,1002.812271
41.60794,1002.808685
42.554668,1002.805786
43.501275,1002.802353
44.447889,1002.799988
45.394577,1002.798996
46.341247,1002.798996
47.287903,1002.799835
48.234527,1002.80014
49.18125,1002.80014
50.127901,1002.798157
51.074635,1002.794876
52.021219,1002.787552
52.967967,1002.779999
53.914566,1002.777328
54.861118,1002.775116
55.807615,1002.774734
56.754211,1002.774734
57.700936,1002.774734
58.647586,1002.773895
59.594302,1002.772217
60.540916,1002.772217
61.4876,1002.774353
62.434267,1002.779617
63.380982,1002.786102
64.327558,1002.79335
65.274284,1002.799988
66.221004,1002.805557
67.167729,1002.811279
68.114467,1002.814941
69.061216,1002.817078
70.008037,1002.817459
70.95489,1002.817459
71.901686,1002.817612
72.848471,1002.819138
73.795299,1002.821503
74.74217,1002.823715
75.688934,1002.826843
76.635779,1002.82814
77.582536,1002.830582
78.529278,1002.833023
79.476002,1002.835922
80.422672,1002.838135
81.369268,1002.840347
82.315909,1002.841415
83.262568,1002.841644
84.209228,1002.842484
85.156002,1002.843933
86.102776,1002.844086
87.049551,1002.844238
87.996385,1002.844238
88.943084,1002.84317
89.889787,1002.841187
90.836496,1002.841034
91.783116,1002.840424
92.729769,1002.839279
93.676405,1002.838364
94.623063,1002.838058
95.569784,1002.835617
96.51654,1002.832718
97.463315,1002.830353
98.410028,1002.827377
99.356761,1002.823944
100.303409,1002.822571
101.250225,1002.820816
102.197117,1002.819214
103.143935,1002.817917
104.090655,1002.816315
105.037475,1002.814255
105.98425,1002.814255
106.930973,1002.813797
107.877604,1002.813797
108.824267,1002.815323
109.770989,1002.817154
110.717742,1002.817917
111.66443,1002.820129
112.6111,1002.820435
113.557792,1002.82074
114.504479,1002.820816
115.451225,1002.820816
116.397919,1002.820587
117.344624,1002.820587
118.291274,1002.822495
119.237944,1002.823181
120.184555,1002.82486
121.131066,1002.826462
122.077628,1002.826767
123.024278,1002.826767
123.9709,1002.825012
124.917503,1002.823486
125.864183,1002.821503
126.810862,1002.818832
127.757565,1002.817917
128.704249,1002.817917
129.650851,1002.817841
130.597529,1002.818069
131.544213,1002.81868
132.490833,1002.818832
133.437504,1002.81868
134.384298,1002.817078
135.331058,1002.814713
136.277832,1002.808456
137.224617,1002.802505
138.171412,1002.798157
139.118164,1002.794952
140.064908,1002.794952
141.011597,1002.797623
141.958173,1002.800903
142.904764,1002.80159
143.851446,1002.802429
144.798176,1002.802963
145.745001,1002.803879
146.691888,1002.80571
147.638726,1002.807693
148.585535,1002.807693
149.532334,1002.806778
150.479195,1002.806091
151.42605,1002.795563
152.372954,1002.784195
153.31974,1002.774048
154.266645,1002.762985
155.213584,1002.755585
156.160536,1002.755585
157.107536,1002.756805
158.054486,1002.76268
159.001471,1002.771606
159.948445,1002.781525
160.895409,1002.789307
161.842357,1002.794342
162.789317,1002.794342
163.736311,1002.791595
164.683284,1002.784271
165.630182,1002.776566
166.577056,1002.770462
167.523948,1002.768326
168.470994,1002.768326
169.417899,1002.769699
170.364894,1002.769699
171.311553,1002.768097
172.258394,1002.763519
173.205259,1002.757874
174.152121,1002.752075
175.099016,1002.749176
176.045906,1002.749176
176.992733,1002.750244
177.939642,1002.752228
178.886562,1002.753448
179.833424,1002.753448
180.780229,1002.752457
181.727101,1002.75032
182.673994,1002.75032
183.620799,1002.75177
184.567584,1002.755203
185.514408,1002.755203
186.461264,1002.754745
187.408188,1002.746964
188.355101,1002.736893
189.301948,1002.724152
190.248844,1002.710342
191.195648,1002.701569
192.142417,1002.701492
193.089273,1002.700729
194.036193,1002.7005
194.983165,1002.7005
195.929915,1002.705841
196.876918,1002.705841
197.823824,1002.705536
198.770743,1002.705536
199.717694,1002.705612
200.664542,1002.706757
201.611404,1002.713013
202.558278,1002.72728
203.504937,1002.741394
204.451771,1002.753448
205.398676,1002.765579
206.3456,1002.773438
207.292597,1002.775574
208.239543,1002.775574
209.186468,1002.775116
210.133216,1002.768707
211.07993,1002.764359
212.026661,1002.764359
212.973425,1002.764969
213.920224,1002.770386
214.867039,1002.778397
215.813811,1002.782898
216.760581,1002.782898
217.707316,1002.782135
218.654151,1002.776337
219.600941,1002.773209
220.54773,1002.773209
221.494615,1002.778931
222.441407,1002.77977
223.388143,1002.77977
224.334755,1002.773819
225.281604,1002.761993
226.22847,1002.746429
227.175156,1002.735214
228.121855,1002.730103
229.068439,1002.730103
230.015166,1002.737274
230.961752,1002.749481
231.908373,1002.764969
232.854866,1002.779846
233.801412,1002.790451
234.748065,1002.797546
235.694692,1002.80098
236.64131,1002.80098
237.587892,1002.799377
238.53452,1002.796402
239.481156,1002.789536
240.427776,1002.780838
241.374427,1002.773743
242.32108,1002.773361
243.267704,1002.773361
244.214329,1002.780838
245.161021,1002.792664
246.107626,1002.803268
247.054251,1002.810364
248.000909,1002.810364
248.947646,1002.807312
249.894331,1002.798462
250.841003,1002.789688
251.78769,1002.783051
252.73428,1002.781143
253.680938,1002.780838
254.627673,1002.779922
255.574549,1002.775955
256.52132,1002.765732
257.467996,1002.755661
258.41461,1002.743835
259.361329,1002.736893
260.308066,1002.736893
261.254806,1002.736969
262.201489,1002.741394
263.148225,1002.749176
264.094974,1002.755585
265.041636,1002.756805
265.988318,1002.756805
266.935094,1002.752991
267.881757,1002.746887
268.82848,1002.744522
269.775152,1002.744522
270.721866,1002.753754
271.668513,1002.764511
272.615204,1002.776184
273.561928,1002.785187
274.508595,1002.792282
275.45526,1002.794418
276.401903,1002.794418
277.348673,1002.791061
278.295337,1002.785492
279.242037,1002.779312
280.188639,1002.778091
281.135253,1002.778091
282.081832,1002.78389
283.028422,1002.793427
283.975055,1002.800827
284.921761,1002.807236
285.868462,1002.807236
286.815268,1002.806396
287.761939,1002.800369
288.708589,1002.79129
289.655242,1002.777939
290.601998,1002.763901
291.548684,1002.751389
292.495215,1002.743225
293.441749,1002.742004
294.388367,1002.742004
295.335037,1002.747879
296.281616,1002.755661
297.228288,1002.763367
298.17492,1002.76741
299.121634,1002.76741
300.068404,1002.760239
301.015112,1002.748566
301.961709,1002.735138
302.908424,1002.724915
303.855135,1002.717667
304.801788,1002.717667
305.748441,1002.720795
306.695097,1002.728882
307.64176,1002.737808
308.588395,1002.742157
309.534979,1002.743683
310.481612,1002.742157
311.428253,1002.728348
312.374927,1002.715073
313.321752,1002.696686
314.268568,1002.683029
315.215445,1002.670441
316.162231,1002.66571
317.109105,1002.669144
318.056134,1002.669144
319.003259,1002.674332
319.950276,1002.674408
320.897376,1002.69249
321.844521,1002.721863
322.791635,1002.753143
323.738751,1002.790604
324.685805,1002.837982
325.63282,1002.888412
326.579926,1002.929916
327.526997,1002.972717
328.474149,1003.032379
329.421278,1003.091888
330.368388,1003.137207
331.315548,1003.18924
332.262637,1003.249435
333.209718,1003.301239
334.156757,1003.347321
335.104039,1003.398514
